,95,94,37,89,actual
1999-12-01,0.8,1.4,1.8,1.2,1.7
2000-03-01,1.0,1.5,2.0,1.5,2.0
2000-09-01,1.4,1.3,1.9,1.5,2.4
2000-12-01,1.6,1.5,1.8,1.8,2.5
2001-03-01,1.5,1.7,1.8,1.7,2.2
2001-06-01,1.9,1.5,2.2,1.8,2.9
2001-09-01,1.9,1.9,2.0,1.8,2.2
2001-12-01,1.7,0.9,1.8,1.9,2.1
2002-06-01,2.2,2.8,1.7,2.1,1.9
2002-09-01,1.3,2.0,1.9,1.8,2.1
2002-12-01,1.5,2.3,2.0,1.7,2.3
2003-03-01,1.9,2.2,2.0,1.9,2.4
2003-06-01,1.8,1.7,2.0,2.1,2.0
2003-09-01,1.8,1.8,1.8,1.8,2.1
2003-12-01,1.7,1.8,1.8,2.2,2.0
2004-03-01,1.6,2.0,1.9,1.7,1.7
2004-09-01,1.6,2.0,2.0,1.5,2.1
2005-03-01,1.7,1.8,1.5,1.6,2.2
2005-06-01,1.8,1.7,1.7,1.9,2.0
2005-09-01,1.8,1.7,1.8,2.0,2.6
2005-12-01,1.8,1.7,2.0,1.6,2.3
2006-06-01,1.9,1.8,2.0,1.8,2.5
2006-09-01,2.2,2.0,1.7,1.9,1.8
2006-12-01,2.0,1.8,1.9,2.2,1.9
2007-03-01,2.2,2.2,2.0,2.4,1.9
2007-06-01,2.1,2.2,2.0,2.0,1.9
2007-09-01,2.2,2.3,2.0,2.2,2.1
2007-12-01,2.1,2.4,2.0,1.9,3.1
2008-06-01,2.0,2.1,2.0,2.2,3.9
2008-09-01,1.9,2.1,2.2,2.2,3.6
2009-03-01,2.2,1.7,2.0,2.6,0.6
2009-06-01,2.2,2.4,2.3,2.5,-0.1
2009-12-01,2.0,0.7,0.3,2.2,0.9
2010-06-01,1.8,0.8,0.8,1.2,1.5
2010-09-01,1.53538602,0.4,1.3,1.35,1.9
2010-12-01,1.83818067,1.3,1.56,1.7,2.2
2011-03-01,1.622172,1.1,1.3,1.7,2.7
2011-06-01,1.4898,0.7,1.4,1.8,2.7
2011-09-01,1.6909999999999998,0.9,1.7,1.6,3.0
2011-12-01,1.682537015,2.1,1.4,1.8,2.8
2012-03-01,2.253916667,2.7,2.2,1.8,2.7
2012-06-01,1.989428571,2.5,2.0,1.9,2.4
2012-09-01,1.9294285709999999,3.0,1.7,1.6,2.6
2012-12-01,1.105178571,3.3,2.0,1.8,2.2
2013-03-01,1.5554166669999998,2.8,1.9,2.0,1.7
2013-06-01,1.67,2.6,1.9,1.8,1.6
2013-09-01,1.875,2.4,1.7,1.9,1.1
2013-12-01,1.5030000000000001,1.8,1.5,2.2,0.8
2014-03-01,1.4280000000000002,2.4,1.6,1.9,0.5
2014-06-01,1.385,2.0,1.6,1.6,0.5
2014-09-01,1.69,2.0,1.9,1.4,0.3
2014-12-01,1.42,1.6,1.2,1.4,-0.2
2015-03-01,1.075,1.7,1.0,1.4,-0.1
2015-06-01,1.265,1.7,1.4,1.4,0.5
2015-09-01,1.28,1.5,1.1,1.3,0.2
2015-12-01,1.1485,0.7,0.4,1.8,0.3
2016-03-01,0.9805,1.9,0.8,1.7,0.0
2016-06-01,1.385,1.9,1.5,1.6,0.0
2016-09-01,1.2565,1.4,1.1,1.5,0.4
2016-12-01,1.2645,0.9,1.2,1.5,1.1
2017-03-01,1.12,0.924,1.4,2.0337,1.5
2017-06-01,0.887566017,1.2,1.8,1.5,1.3
2017-09-01,0.8260360840000001,1.5,1.2,1.5,1.6
2017-12-01,0.8260360840000001,1.689,1.7,1.5,1.3
2018-03-01,1.335173311,1.659,1.8,1.46798127,1.4
2018-06-01,1.6156730780000002,1.669,1.8,1.475972545,2.0
2018-09-01,1.257328193,1.669,1.3,1.840212569,2.1
2018-12-01,0.747952372,1.7,1.9,1.4,1.5
