Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,adev_SN_1,adev_SN_2,adev_SN_3,adev_SN_4
20,-9.1645437716968e-05,0.00121256376076425,-0.000191218409876549,-0.000372049268877941,-0.000557650644292789,0.0420502579871386,0.0376477579521082,0.0411372356236627,0.042206969971418
30,0.000876231943650293,-0.000323641174113373,-0.000580797888504207,-5.99314361600008e-05,8.81385551272866e-05,0.0404979469669153,0.0337184655352709,0.0394567620243726,0.037566827306686
50,0.00121768499617465,-0.000455436693825202,-0.000687583778419558,0.000187613844733219,-0.000262278368663106,0.0345422490840884,0.0274116122139106,0.0333361986288359,0.0314303711705876
100,-0.000682993031420372,0.000382650633251456,0.000714101074492974,1.61956853161826e-05,-0.000429954361640242,0.0274439578539029,0.0207278299731488,0.0264123217407268,0.02380851309041
200,7.35989958723572e-05,-1.77369165241385e-05,0.000116643713890541,6.81920929315166e-05,-0.000240697886170279,0.020013095031763,0.0151565241481201,0.0197096789846721,0.0174607863013843
300,-0.000123620262772833,-4.15457829893274e-06,0.000102787746983244,0.000362736121324813,-0.000337749027236293,0.0169746725708265,0.0123875277941907,0.0166680693146472,0.0144276747101943
400,-6.43999989479829e-05,6.33204002167759e-05,5.97092891725559e-05,5.7353468900164e-05,-0.000115983159341511,0.0147410371489331,0.0109356278897762,0.0140636978820769,0.0126865583874294
500,-0.000106598737524785,-0.000100859959156037,0.000112434575667896,0.000502475565389935,-0.00040745144437701,0.0132394242386729,0.00985921456654613,0.0129210691630709,0.0112883348809089
600,-0.00012800629063036,-8.87604370803728e-05,0.000310536078364612,0.000167175789974323,-0.000260945140628203,0.012133243270071,0.00881897665765191,0.0117441383068072,0.0103732307377765
700,-1.37903023202058e-06,-1.93169851489736e-05,7.10745497032941e-06,0.000534800770386465,-0.000521212209975801,0.0112668626355936,0.00821036368682552,0.0109270213179082,0.00941444805339559
800,-0.000278643187585423,0.000180288135245629,0.000220993852370089,6.41377985942555e-05,-0.00018677659862455,0.0103524114647261,0.00768675582395794,0.0100127695005445,0.00892724916423066
900,-0.000153297630795299,5.59603998305074e-05,7.87683988244927e-05,0.00017698946680586,-0.000158420634665559,0.0102534177621979,0.00735899168918749,0.00980419203680344,0.00861304534472777
1000,-0.000218565876869333,0.000338139047277193,0.000243160268926812,3.77151272692714e-05,-0.000400448566603944,0.00945395601833261,0.00677021577718677,0.00910327151961961,0.00800219896371056
