Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,adev_t3_1,adev_t3_2,adev_t3_3,adev_t3_4
20,-0.00073038595103691,-0.00076871299738745,9.13105132723739e-05,0.00054954489760845,0.000858243537543539,0.0366409785234981,0.0425098679259372,0.0335122799053902,0.0270896387674881
30,-0.000713180810174085,0.00072984938747549,-0.000170791875903624,-6.89213225101247e-05,0.00022304462111234,0.0405532889855518,0.0469040726403801,0.0361947225697143,0.0282101398357473
50,-0.000253788969032365,0.000393783546686344,-8.53034196326122e-05,0.000222787004567422,-0.000277478162588788,0.0404494721391384,0.0514350658810214,0.0388975902077421,0.0262131404992433
100,-0.000118563843104903,0.000515682147089961,-0.00062447124920094,-0.000434508458844047,0.000661861404059926,0.0413100913927816,0.0538868367149433,0.0398474299234988,0.0237361357248005
200,-0.000282974028334293,6.99965696174284e-05,-9.16980001895432e-05,0.000627492391587546,-0.000322816932681143,0.037812325712327,0.0498882628676861,0.0358206089310995,0.0210396145947967
300,0.000817915274029519,-0.000377225190588624,-0.000161953828899073,-0.000486367277514704,0.000207631022972884,0.0356154886419511,0.0466330544497754,0.03376789090604,0.0193887496147282
400,-0.000454748849972843,4.70344203264657e-05,-0.000236990643517093,0.000421007826001649,0.000223697247161825,0.0342921902205491,0.0452882950640314,0.0326615721183944,0.0180169974301128
500,6.34802205368862e-05,-0.000423355102003912,-1.06924249547284e-05,0.000180045957734864,0.000190521348686891,0.0315074409222067,0.0431032483778879,0.0309812353282561,0.0170124359316328
600,0.00014803306447656,-0.000707896763898585,0.000787698690246711,8.18977328042971e-05,-0.000309732723628981,0.0318873071356655,0.0424000741556288,0.0303491457045597,0.0169639609033241
700,0.000267588663945106,-0.000706602422624617,0.00028945701679048,-0.000102726281922431,0.000252283023811462,0.0311773732735433,0.0420107935687251,0.0302252815266484,0.0163102008559584
800,-0.000485630052221024,0.000864635554825813,-0.000534801983434864,0.000160931508186855,-5.13502735678132e-06,0.0298302741445188,0.0391469407383463,0.0284014815617299,0.0160681679270664
900,0.000468211129226466,-0.000543880743695895,0.000272887886168728,-0.000290163195990626,9.29449242913242e-05,0.0303225981424133,0.0392698571768057,0.02823362929971,0.0157685151414878
1000,0.000288571101014308,-0.000814461268002424,0.000829927811115157,-1.59097602632039e-05,-0.000288127883863836,0.0280429212599759,0.0379192070396652,0.0268055873924931,0.0154345977122123
